"","celltype"
"x2_52_3_2_bc0421","eL4"
"x2_52_3_1_bc0031","eL4"
"x2_41_1_1_bc0022","eL4"
"x2_75_0_4_bc0410","eL4"
"x2_52_3_2_bc0921","eL4"
"x2_58_0_2_bc0244","eL4"
"x2_35_1_bc0615","eL4"
"x2_35_3_bc0203","eL4"
"x2_35_3_bc0321","eL4"
"x2_94_1_1_2_bc0367","eL4"
"x2_52_3_2_bc1091","eL4"
"x2_52_0_1_bc0662","eL4"
"x2_58_0_2_bc0214","eL4"
"x2_75_0_3_bc0829","eL4"
"x2_52_3_1_bc0408","eL4"
"x2_94_4_1_1_bc0291","eL4"
"x2_35_1_bc0223","eL4"
"x2_94_4_1_1_bc0229","eL4"
"x2_35_0_bc0612","eL4"
"x2_52_3_2_bc0238","eL4"
"x2_94_4_1_1_bc0320","eL4"
"x2_41_1_1_bc0587","eL4"
"x2_52_1_2_bc0409","eL4"
"x2_52_0_1_bc0360","eL4"
"x2_75_0_1_bc0217","eL4"
"x2_35_1_bc0510","eL4"
"x2_52_3_2_bc0323","eL4"
"x2_75_0_3_bc0545","eL4"
"x2_58_0_1_bc0310","eL4"
"x2_94_4_2_2_bc0297","eL4"
"x2_75_0_4_bc0389","eL4"
"x2_94_4_1_2_bc0110","eL4"
"x2_98_4_2_2_bc0391","eL4"
"x2_98_4_2_2_bc0291","eL4"
"x2_98_4_1_1_bc0467","eL4"
"x2_41_1_1_bc0214","eL4"
"x2_75_0_2_bc0126","eL4"
"x2_52_3_1_bc0152","eL4"
"x2_35_0_bc0176","eL4"
"x2_52_1_2_bc0225","eL4"
"x2_75_0_4_bc0688","eL4"
"x2_98_4_1_2_bc0139","eL4"
"x2_75_0_4_bc0190","eL4"
"x2_75_0_3_bc0925","eL4"
"x2_52_3_2_bc0987","eL4"
"x2_75_0_4_bc0542","eL4"
"x2_52_0_1_bc0211","eL4"
"x2_58_0_1_bc0792","eL4"
"x2_75_0_3_bc0271","eL4"
"x2_94_4_1_2_bc0453","eL4"
"x2_52_0_1_bc1039","eL4"
"x2_98_1_1_bc0262","eL4"
"x2_52_3_2_bc0762","eL4"
"x2_41_1_1_bc1099","eL4"
"x2_98_4_1_2_bc0192","eL4"
"x2_94_4_2_1_bc0183","eL4"
"x2_75_0_1_bc0616","eL4"
"x2_94_1_1_1_bc0267","eL4"
"x2_41_1_1_bc0361","eL4"
"x2_75_0_4_bc0841","eL4"
"x2_75_0_3_bc0630","eL4"
"x2_94_4_1_2_bc0054","eL4"
"x2_52_0_1_bc1097","eL4"
"x2_98_4_2_2_bc0366","eL4"
"x2_75_0_3_bc0806","eL4"
"x2_75_0_1_bc0267","eL4"
"x2_58_0_1_bc0594","eL4"
"x2_52_1_1_bc0357","eL4"
"x2_52_1_1_bc0160","eL4"
"x2_52_3_1_bc0459","eL4"
"x2_35_3_bc0560","eL4"
"x2_98_4_2_2_bc0065","eL4"
"x2_94_1_1_1_bc0315","eL4"
"x2_94_1_2_bc1048","eL4"
"x2_52_3_1_bc0630","eL4"
"x2_75_0_1_bc0079","eL4"
"x2_94_1_2_bc0689","eL4"
"x2_52_0_1_bc0030","eL4"
"x2_94_4_2_2_bc0141","eL4"
"x2_75_0_2_bc0159","eL4"
"x2_94_1_1_1_bc0123","eL4"
