,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
24x21,0,0,0,0.078605358,0,0.361410413,0,0.391543582,0.168440646
24x23,0.221213225,0.054391241,0,0,0,0,0,0.61268996,0.111705574
24x24,0.09900959,0.109149429,0,0.436884873,0,0.209932032,0,0.129929466,0.015094609
24x25,0,0.284744782,0.017673835,0.507231148,0,0,0,0.070230835,0.120119399
24x26,0,0.320029903,0,0.269023461,0,0.410946635,0,0,0
24x27,0,0,0,0,0.13134931,0.86865069,0,0,0
24x28,0.15678468,0.238314051,0,0.315273255,0,0.155132675,0.134495339,0,0
24x29,0,0.080332528,0,0.346697273,0,0.295469991,0,0.139720881,0.137779327
24x30,0.045102019,0.213167359,0,0.290927152,0,0.45080347,0,0,0
24x9,0,0,0,0,0,0.56781576,0,0.43218424,0
25x10,0,0.048944835,0.044824956,0.266802762,0,0,0,0.639427447,0
25x11,0,0,0,0.251553808,0,0,0,0.512710048,0.235736144
25x12,0,0,0,0.249851338,0,0,0,0.750148662,0
25x13,0.206233035,0,0,0,0,0,0.078848481,0.714918485,0
25x14,0,0,0,0.157575828,0,0.415015643,0,0.427408529,0
25x15,0,0,0,0,0,0.391894783,0,0.608105217,0
25x16,0,0,0,0.098733282,0,0.214467593,0,0.686799125,0
25x17,0.198824125,0,0.121228342,0,0,0,0,0.679947533,0
25x18,0,0,0,0,0,0.479875483,0,0,0.520124517
25x19,0,0,0.029303365,0,0,0,0.05245889,0.528254334,0.38998341
25x20,0,0.198632569,0.098299766,0,0,0,0,0.703067665,0
25x21,0.152666403,0,0,0,0.115616523,0,0,0.731717074,0
25x22,0,0,0.33651863,0,0,0,0,0.66348137,0
25x23,0,0.42547575,0.104302565,0,0,0,0,0.470221684,0
25x24,0,0.473421124,0,0,0,0,0,0.526578876,0
25x25,0,0.586266077,0,0.413733923,0,0,0,0,0
25x26,0,0,0,0.409936987,0.044535014,0.534549873,0,0,0.010978126
25x27,0,0.141335791,0,0.272862123,0,0.263244327,0,0.222089649,0.100468111
25x28,0,0.179951632,0,0.296467728,0.215325068,0.269841565,0,0,0.038414007
25x29,0,0,0.005317575,0.418938924,0,0,0.540032931,0.03571057,0
25x30,0,0.461827094,0,0,0,0.034837336,0.475290891,0,0.028044679
25x9,0.142789627,0,0.074906214,0.144505706,0,0.168448384,0,0.18110491,0.288245158
26x10,0,0.098145777,0,0.467430354,0,0.150598351,0,0.283825519,0
26x11,0.134409102,0.008526762,0,0,0,0.240468576,0,0.393902272,0.222693288
26x12,0,0,0,0.31366107,0,0,0,0.68633893,0
26x13,0,0.084201369,0,0.358398847,0,0,0.237189978,0.320209805,0
26x14,0,0,0.068845936,0.100069477,0,0.168258826,0,0.662825761,0
26x15,0,0,0.031152088,0,0.093144978,0,0,0.743635788,0.132067147
26x16,0,0.325387081,0.03886722,0,0,0.110595204,0,0.525150495,0
26x17,0,0.288004759,0,0,0,0,0,0.711995241,0
26x18,0.228080395,0,0.031463721,0.708066815,0,0,0,0.032389069,0
