"","Astro","eL2/3","eL4","eL5","eL6","Endo","Micro","Oligo","PVALB","Smc","SST","VIP"
"x2534y5550",0,0.142857142857143,0,0,0.571428571428571,0.142857142857143,0,0.142857142857143,0,0,0,0
"x3034y5550",0.25,0,0,0,0.5,0.25,0,0,0,0,0,0
"x3534y5550",0,0,0,0,1,0,0,0,0,0,0,0
"x4534y5550",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"x5034y5550",0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0
"x5534y5550",0,0,0,0,0.75,0.25,0,0,0,0,0,0
"x6034y5550",0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0
"x6534y5550",0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"x7034y5550",0,0,0,0,1,0,0,0,0,0,0,0
"x7534y5550",0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0
"x8034y5550",1,0,0,0,0,0,0,0,0,0,0,0
"x8534y5550",0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0
"x9034y5550",0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0
"x9534y5550",0.5,0,0,0.5,0,0,0,0,0,0,0,0
"x10034y5550",0,0,0,0.5,0.5,0,0,0,0,0,0,0
"x34y6050",0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0
"x534y6050",0,0,0,0,0.5,0,0,0,0,0,0.5,0
"x1034y6050",0,0,0,0,0.5,0.5,0,0,0,0,0,0
"x1534y6050",0,0,0,0,1,0,0,0,0,0,0,0
"x2034y6050",0,0,0.25,0,0.75,0,0,0,0,0,0,0
"x2534y6050",0.25,0,0,0,0.5,0,0,0.25,0,0,0,0
"x3034y6050",0,0,0,0,0.833333333333333,0,0.166666666666667,0,0,0,0,0
"x3534y6050",0,0,0,0,0.5,0.25,0,0.25,0,0,0,0
"x4534y6050",0,0,0,0,1,0,0,0,0,0,0,0
"x5034y6050",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0
"x5534y6050",0.333333333333333,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0,0
"x6034y6050",1,0,0,0,0,0,0,0,0,0,0,0
"x6534y6050",0,0,0,1,0,0,0,0,0,0,0,0
"x7034y6050",0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
"x7534y6050",0,0,0,0,0,0,0,0,0.5,0,0.5,0
"x8034y6050",0.4,0,0.2,0.2,0,0.2,0,0,0,0,0,0
"x8534y6050",0.166666666666667,0,0,0,0.5,0,0,0.166666666666667,0,0,0.166666666666667,0
"x9034y6050",0,0,0,0.25,0,0.25,0,0.5,0,0,0,0
"x9534y6050",0,0,0,0.2,0.2,0,0.2,0,0.2,0,0.2,0
"x10034y6050",0.5,0,0,0.5,0,0,0,0,0,0,0,0
"x10534y6050",0.5,0,0,0.5,0,0,0,0,0,0,0,0
"x534y6550",0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0
"x1034y6550",0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,0
"x1534y6550",0.2,0,0.2,0,0.6,0,0,0,0,0,0,0
"x2034y6550",0.333333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0
"x2534y6550",0.2,0,0,0,0.8,0,0,0,0,0,0,0
"x3034y6550",0,0,0,0,1,0,0,0,0,0,0,0
"x3534y6550",0,0,0,0,0.5,0,0,0,0.5,0,0,0
"x4534y6550",0,0,0,0,0,0,0,0,1,0,0,0
"x5034y6550",0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"x5534y6550",0,0,0,0,1,0,0,0,0,0,0,0
"x6034y6550",0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0
"x6534y6550",0,0,0,0.2,0.2,0.2,0.4,0,0,0,0,0
"x7034y6550",0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0
"x7534y6550",0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0
"x8034y6550",0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
"x8534y6550",0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0,0
"x9034y6550",0.5,0,0,0,0.5,0,0,0,0,0,0,0
"x9534y6550",0,0,0,0.5,0,0,0,0.5,0,0,0,0
"x10034y6550",0,0,0.5,0.5,0,0,0,0,0,0,0,0
"x10534y6550",0.5,0,0,0.5,0,0,0,0,0,0,0,0
"x34y7050",0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"x534y7050",0.25,0,0.25,0.25,0,0.25,0,0,0,0,0,0
"x1034y7050",0.25,0,0,0.25,0,0.25,0,0,0.25,0,0,0
"x1534y7050",0,0,0,0.5,0.5,0,0,0,0,0,0,0
"x2034y7050",0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"x2534y7050",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"x3034y7050",0,0,0,0,1,0,0,0,0,0,0,0
"x3534y7050",0,0,0,0,1,0,0,0,0,0,0,0
"x4534y7050",0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0
"x5034y7050",0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"x5534y7050",0,0,0,0.25,0.25,0,0,0.5,0,0,0,0
"x6034y7050",0,0,0,0.75,0,0,0,0,0,0,0,0.25
