"","celltype"
"x2_94_1_1_2_bc0666","Astro"
"x2_94_4_1_2_bc0675","Astro"
"x2_41_1_1_bc3684","Astro"
"x2_52_3_2_bc1592","Astro"
"x2_35_1_bc4441","Astro"
"x2_41_1_1_bc1117","Astro"
"x2_94_1_2_bc0667","Astro"
"x2_94_1_2_bc0862","Astro"
"x2_52_0_2_bc1448","Astro"
"x2_98_4_2_1_bc0689","Astro"
"x2_94_1_1_1_bc0456","Astro"
"x2_35_3_bc1875","Astro"
"x2_75_0_3_bc1160","Astro"
"x2_75_0_3_bc1802","Astro"
"x2_52_3_1_bc1979","Astro"
"x2_35_3_bc0862","Astro"
"x2_35_1_bc1309","Astro"
"x2_41_1_1_bc2719","Astro"
"x2_94_4_2_1_bc0846","Astro"
"x2_75_0_2_bc1247","Astro"
"x2_94_4_1_1_bc0892","Astro"
"x2_94_1_2_bc0751","Astro"
"x2_35_3_bc1771","Astro"
"x2_58_0_2_bc0614","Astro"
"x2_75_0_4_bc1011","Astro"
"x2_41_1_1_bc2550","Astro"
"x2_52_3_2_bc1656","Astro"
"x2_52_0_2_bc1328","Astro"
"x2_35_1_bc0950","Astro"
"x2_98_4_2_1_bc2103","Astro"
"x2_52_0_2_bc1010","Astro"
"x2_41_1_1_bc1061","Astro"
"x2_35_3_bc0735","Astro"
"x2_35_3_bc2213","Astro"
"x2_58_0_2_bc0804","Astro"
"x2_35_3_bc1516","Astro"
"x2_35_3_bc1129","Astro"
"x2_98_4_1_2_bc2018","Astro"
"x2_52_3_2_bc3073","Astro"
"x2_35_1_bc1043","Astro"
"x2_41_1_1_bc1262","Astro"
"x2_35_0_bc2435","Astro"
"x2_35_3_bc1928","Astro"
"x2_52_0_2_bc0794","Astro"
"x2_35_0_bc2476","Astro"
"x2_41_1_1_bc2073","Astro"
"x2_52_1_2_bc1455","Astro"
"x2_52_0_2_bc1196","Astro"
"x2_58_0_1_bc1536","Astro"
"x2_35_0_bc2064","Astro"
"x2_52_3_2_bc1358","Astro"
"x2_35_3_bc1539","Astro"
"x2_52_1_2_bc2092","Astro"
"x2_98_4_2_1_bc0611","Astro"
"x2_58_0_2_bc0603","Astro"
"x2_52_3_2_bc1774","Astro"
"x2_58_0_1_bc3548","Astro"
"x2_52_0_2_bc1658","Astro"
"x2_52_1_1_bc0792","Astro"
"x2_52_1_1_bc1787","Astro"
"x2_35_0_bc2666","Astro"
"x2_52_3_2_bc1889","Astro"
"x2_75_0_1_bc1997","Astro"
"x2_35_3_bc1429","Astro"
"x2_52_0_2_bc0551","Astro"
"x2_52_3_2_bc1518","Astro"
"x2_52_3_2_bc1431","Astro"
"x2_52_3_1_bc1356","Astro"
"x2_98_4_2_2_bc2414","Astro"
"x2_52_0_2_bc0673","Astro"
"x2_35_3_bc2748","Astro"
"x2_52_0_1_bc2514","Astro"
"x2_52_1_2_bc1264","Astro"
"x2_98_4_2_2_bc1892","Astro"
"x2_52_1_1_bc1472","Astro"
"x2_35_1_bc1836","Astro"
"x2_98_4_2_2_bc1113","Astro"
"x2_75_0_2_bc1081","Astro"
